time,open,high,low,close,volume,ticker
2019-03-01,13590,13590,13360,13480,9850,CMG
2019-03-04,13550,14060,13550,13970,118020,CMG
2019-03-05,13830,14490,13830,14460,222050,CMG
2019-03-06,14460,14720,13850,14060,224770,CMG
2019-03-07,14340,14340,13830,13830,112670,CMG
2019-03-08,13640,13990,13550,13990,35510,CMG
2019-03-11,13690,13920,13690,13870,40160,CMG
2019-03-12,13970,14530,13640,14490,138470,CMG
2019-03-13,14770,14810,14490,14490,61700,CMG
2019-03-14,14530,14530,14200,14490,29070,CMG
2019-03-15,14200,14930,14110,14670,179770,CMG
2019-03-18,14670,14770,14440,14770,27730,CMG
2019-03-19,14770,14770,14300,14300,28890,CMG
2019-03-20,14300,14300,13830,14060,34870,CMG
2019-03-21,14200,14200,13360,13360,102000,CMG
2019-03-22,13170,13780,13170,13730,70670,CMG
2019-03-25,13830,13830,13240,13430,58800,CMG
2019-03-26,13780,13780,13450,13450,57930,CMG
2019-03-27,13450,14160,13450,14020,42400,CMG
2019-03-28,13690,14180,13690,14180,15960,CMG
2019-03-29,14340,14340,13970,14060,54070,CMG
2019-04-01,14060,14060,13850,13900,21770,CMG
2019-04-02,13900,14300,13900,14060,36380,CMG
2019-04-03,13550,14060,13550,14040,15440,CMG
2019-04-04,14060,14160,13730,14040,69020,CMG
2019-04-05,14060,15000,14060,15000,224780,CMG
2019-04-08,15470,16030,15240,15850,214170,CMG
2019-04-09,15890,15890,15380,15380,53700,CMG
2019-04-10,15050,15470,14910,15280,116380,CMG
2019-04-11,15000,15610,14910,15570,42030,CMG
2019-04-12,15710,15710,15190,15470,28360,CMG
2019-04-16,15470,15470,15000,15210,58480,CMG
2019-04-17,14770,15450,14530,14530,52020,CMG
2019-04-18,14530,14670,13780,13920,125600,CMG
2019-04-19,14060,14530,14060,14160,13490,CMG
2019-04-22,14060,14090,13830,14020,34830,CMG
2019-04-23,13870,14490,13870,14160,44970,CMG
2019-04-24,14250,14250,14060,14180,29510,CMG
2019-04-25,14180,14390,14060,14160,63420,CMG
2019-04-26,14440,14440,14200,14250,53690,CMG
2019-05-02,14250,14250,13260,13260,324630,CMG
2019-05-03,12980,13500,12980,13500,79350,CMG
2019-05-06,13410,13550,13170,13550,62340,CMG
2019-05-07,13500,13590,13360,13410,32110,CMG
2019-05-08,13520,13520,13150,13410,56620,CMG
2019-05-09,13410,13410,13190,13190,35990,CMG
2019-05-10,13480,13480,13120,13310,132240,CMG
2019-05-13,13310,13830,13310,13830,20380,CMG
2019-05-14,13690,14020,13500,13590,20070,CMG
2019-05-15,13590,13920,13550,13920,37170,CMG
2019-05-16,13920,13950,13780,13830,30080,CMG
2019-05-17,13730,14340,13730,14250,36090,CMG
2019-05-20,14250,14910,14250,14910,128670,CMG
2019-05-21,15000,15420,14770,15380,68110,CMG
2019-05-22,15000,15710,14320,15000,66650,CMG
2019-05-23,15000,15470,14810,15470,38850,CMG
2019-05-24,15470,16079,15470,15940,133630,CMG
2019-05-27,16880,17040,16650,16970,257900,CMG
2019-05-28,17110,17670,17110,17580,157910,CMG
2019-05-29,17950,18700,17810,18560,161810,CMG
2019-05-30,18660,18660,17270,17270,193280,CMG
2019-05-31,17270,17760,16320,16650,202430,CMG
2019-06-03,16320,16880,15490,15520,109300,CMG
2019-06-04,15470,16180,15470,15750,100940,CMG
2019-06-05,16410,16650,15990,16180,101310,CMG
2019-06-06,16600,16600,16180,16530,69130,CMG
2019-06-07,16530,16740,16180,16550,67780,CMG
2019-06-10,16990,17180,16790,16950,187400,CMG
2019-06-11,16930,17860,16930,17720,185910,CMG
2019-06-12,17810,17930,17440,17440,81360,CMG
2019-06-13,16880,17340,16650,16790,65290,CMG
2019-06-14,17060,17530,16880,17290,107580,CMG
2019-06-17,17290,17370,17110,17270,64350,CMG
2019-06-18,17440,17440,16880,17110,45690,CMG
2019-06-19,17010,17340,17010,17010,58010,CMG
2019-06-20,17320,17340,16970,17150,40060,CMG
2019-06-21,17340,18050,17150,17580,252830,CMG
2019-06-24,17910,18520,17720,18520,233790,CMG
2019-06-25,18560,18660,18090,18420,126580,CMG
2019-06-26,17950,18260,17950,18120,87860,CMG
2019-06-27,18190,18370,17910,17910,124800,CMG
2019-06-28,18160,18160,17440,17670,84330,CMG
2019-07-01,18050,18050,17620,17810,131930,CMG
2019-07-02,17830,17910,17670,17910,114150,CMG
2019-07-03,17860,18000,17760,18000,49760,CMG
2019-07-04,18000,18050,17620,17810,73790,CMG
2019-07-05,17720,17760,17580,17760,111910,CMG
2019-07-08,17760,17810,17440,17600,42240,CMG
2019-07-09,17600,17620,17110,17110,119750,CMG
2019-07-10,17340,17580,17340,17440,72380,CMG
2019-07-11,17620,17670,17290,17530,47930,CMG
2019-07-12,17530,18000,17390,18000,116460,CMG
2019-07-15,18050,18090,17810,17880,71800,CMG
2019-07-16,18050,18050,17880,18000,57580,CMG
2019-07-17,17910,19240,17910,19240,211330,CMG
2019-07-18,19450,20110,19410,19670,133340,CMG
2019-07-19,19640,20110,19220,19220,111520,CMG
2019-07-22,19220,19220,18840,19010,93080,CMG
2019-07-23,19010,19640,19010,19450,101930,CMG
2019-07-24,20240,20390,19890,20240,70500,CMG
2019-07-25,20290,20750,20140,20690,68360,CMG
2019-07-26,21100,21650,20540,20640,114450,CMG
2019-07-29,20790,21150,20440,20750,120300,CMG
2019-07-30,20340,21150,20240,20590,78920,CMG
2019-07-31,20590,20590,19170,19170,279820,CMG
2019-08-01,17960,19230,17960,18920,184910,CMG
2019-08-02,18980,19580,18980,19580,57710,CMG
2019-08-05,18220,19480,18220,18880,150790,CMG
2019-08-06,18120,18720,17980,18700,90400,CMG
2019-08-07,18220,18570,18220,18520,27430,CMG
2019-08-08,18520,18620,18160,18620,74480,CMG
2019-08-09,18820,19380,18720,19230,93660,CMG
2019-08-12,19230,19480,19080,19230,59660,CMG
2019-08-13,19170,19170,18410,18470,72030,CMG
2019-08-14,18570,19760,18410,19760,124560,CMG
2019-08-15,19480,20690,19250,20320,143940,CMG
2019-08-16,20240,21530,20240,21150,273010,CMG
2019-08-19,21250,21250,20290,20690,63920,CMG
2019-08-20,20690,20890,20340,20890,57620,CMG
2019-08-21,20890,22040,20640,20850,248660,CMG
2019-08-22,21000,21000,20590,20970,50860,CMG
